gg pf ps gs c mdif
1 69.5 68.5 0 2 1
2 66 79 1 0 0
3 66.5 75 1 2 0
4 73 70 2 1 3
5 69 68.5 1 0 3
6 70.5 65.5 1 3 0
7 80.5 67.5 1 1 0
8 59 70.5 1 2 0
9 72 59 2 1 0
10 69 81.5 0 0 0
11 64 76 2 4 3
12 69 70.5 1 3 0
13 73 72 1 0 1
14 71.5 81 0 0 3
15 62 70 0 2 0
16 70 69.5 1 1 1
17 63 65 0 1 0
18 79 56.5 1 0 0
19 79.5 79 0 3 0
20 62.5 80 4 2 0
21 74 78 0 1 1
22 68.5 83 0 1 3
23 70.5 75.5 1 5 3
24 80 72 0 1 1
25 78 61.5 0 4 3
26 72.5 83.5 1 1 1
27 68.5 73.5 3 1 1
28 70.5 79.5 1 0 0
29 74 82.5 1 2 3
30 61.5 71.5 0 3 1
31 68 65 0 3 1
32 71 72.5 1 1 1
33 60.5 68.5 2 3 1
34 68 75 1 4 1
35 71.5 80.5 0 3 3
