gg pf ps gs c mdif
1 76 88.5 0 1 1
2 67 66 0 2 0
3 83 71.5 0 2 0
4 74 70 0 3 1
5 72.5 75.5 0 1 1
6 77.5 74.5 0 2 0
7 73.5 79.5 3 1 1
8 75.5 66.5 0 4 2
9 74 76.5 0 0 1
10 62 66.5 3 2 0.5
11 66.5 73 2 1 1
12 74 63.5 2 2 1
13 76.5 66 0 0 1
14 75 66 0 2 1
15 65 61 1 0 0.5
16 76 80.5 1 1 2
17 65.5 77.5 1 1 0.5
18 75 70 0 2 0.5
19 67 67.5 0 3 0
20 69.5 71 2 0 0
21 73 74 0 3 0.5
22 75.5 70.5 0 1 0.5
23 74.5 58.5 0 1 0
24 64.5 60.5 1 2 1
25 74 68 0 2 0.5
26 62.5 65 1 2 0
27 62 72.5 3 4 1
28 84.5 74 0 1 0
