gg pf ps gs c mdif
1 76.5 64.5 0 1 1
2 76 70 2 0 1
3 80 78.5 2 3 2
4 78.5 79.5 2 1 1
5 69.5 78 1 1 1
6 72 75.5 1 4 1
7 77.5 69 2 1 1
8 80.5 73 0 1 1
9 70 74 0 4 1
10 76.5 63.5 0 1 1
11 90 69.5 1 2 0
12 70.5 71 0 0 0.5
13 90.5 70.5 0 1 1
14 72 80.5 0 7 0.5
15 70 79.5 1 2 0.5
16 71 68 0 0 2
17 82 72.5 0 0 0.5
18 77 71.5 1 2 0
19 77 85.5 3 3 0
20 74.5 77 0 0 1
21 67 71.5 1 1 0.5
22 70 68 0 1 1
23 72 70.5 2 2 0.5
24 67.5 60 1 2 0
25 76 70.5 1 1 0.5
26 75.5 71 0 1 2
27 75 74 1 1 2
28 77.5 81.5 0 2 1
29 74.5 72 0 2 1
30 73.5 62 1 1 1
31 68 63 1 1 0.5
32 78 75 1 1 0.5
