gg pf ps gs c mdif
1 82.5 68.5 1 3 3
2 86 81.5 0 2 1
3 76.5 76.5 0 1 1
4 70.5 69.5 3 3 0
5 78 69.5 0 2 0
6 64 72 1 4 0
7 70.5 70 1 2 0
8 68.5 69.5 1 2 0
9 68.5 71.5 2 2 0
10 63.5 76.5 1 0 0
11 80 66 2 0 1
12 75 67.5 0 0 0
13 76.5 66 0 1 2
14 75 78.5 2 2 0
15 79.5 70 0 1 2
16 68.5 82 4 1 1
17 63 68.5 1 1 0
18 65.5 59 3 5 0
19 77.5 83 2 0 2
20 77 74.5 0 2 1
21 72.5 76 2 2 3
22 81 64.5 0 1 1
23 67.5 66.5 2 1 0
24 62 70 1 2 0
25 70.5 76 0 0 0
26 76.5 73 1 3 1
27 67 64.5 1 4 0.5
28 72 73 0 2 3
29 73 83 0 3 0.5
30 62 73.5 1 3 0.5
31 78 71.5 2 0 0
32 70.5 76.5 1 1 1
33 70.5 81 1 2 0
34 79.5 63 1 4 0.5
