gg pf ps gs c mdif
1 64.5 76.5 2 2 0
2 82.5 71 0 1 0
3 76.5 76.5 4 1 0
4 72 73.5 2 3 0
5 67.5 72 3 2 0
6 75.5 71 3 0 0.5
7 62.5 69 1 1 0.5
8 69.5 68.5 3 3 1
9 67.5 77.5 3 3 1
10 85 67 2 2 0
11 69.5 90 2 3 0
12 76 75 1 1 0
13 66 76.5 3 2 0
14 87 87 1 0 0
15 68 68.5 2 1 0
16 68 71 1 2 0
17 70.5 70.5 1 1 0
18 59 65.5 3 5 0
19 63.5 87.5 5 1 0
20 83.5 67.5 0 2 0
21 71.5 67 0 2 0
22 64 76 0 5 0
23 66.5 67.5 0 3 0
24 70 75 1 2 2
25 61 68 2 1 0
26 71 75.5 0 1 1
27 74.5 67 0 1 1
28 73 72 1 2 1
29 80 65.5 1 1 1
30 76.5 78 1 1 1
31 63 68 1 1 0.5
32 72.5 67.5 1 3 0.5
