gg pf ps gs c mdif
1 68.5 82.5 2 2 1
2 70 76 0 1 0.5
3 79.5 82 0 2 0
4 73.5 72 0 2 1
5 65.5 68.5 1 2 1
6 72 64 0 1 2
7 69 77.5 0 0 0.5
8 66.5 66.5 0 4 1
9 77.5 67.5 0 2 1
10 76.5 66 1 0 2
11 66 80 3 1 1
12 71 70.5 0 2 1
13 89.5 74.5 0 3 1
14 87 87 0 1 0.5
15 72 83 0 0 0.5
16 82 68.5 0 0 0.5
17 72.5 82 1 1 0.5
18
19 87.5 63.5 0 1 3
20 82.5 87.5 0 2 0
21 76 72.5 1 1 0.5
22 68 70 0 2 0.5
23 69 87 1 0 0
24 75 70 1 2 0
25 70 76.5 0 4 1
26 73 76.5 0 2 1
27 74 75 1 1 2
28 68 76 1 1 0.5
29 65.5 80 0 2 1
30 90.5 78 0 0 2
31 71.5 78 1 4 1
