gg pf ps gs c mdif
1 69.5 75 3 2 0
2 68.5 67 0 0 1
3 75 69.5 2 2 1
4 69 68.5 1 0 1
5 61.5 75 2 2 1
6 75 73 3 3 1
7 71 87 1 1 1
8 69 80.5 2 2 1
9 63 59.5 1 3 1
10 74 68 1 3 1
11 68 64 3 1 1
12 88.5 88 1 1 1
13 72.5 74 2 3 1
14 77 73.5 2 2 1
15 72 73 0 3 1
16 73.5 69 0 1 1
17 73 66.5 0 0 1
18 72.5 70.5 0 1 0
19 64 70.5 1 2 1
20 71.5 90 0 3 1
21 72.5 68.5 0 1 1
22
23 91 80 0 0 3
24 67 89.5 1 0 1
25 65 70.5 1 2 0
26 69.5 67 0 1 1
27 82 71.5 0 1 1
28 71 67 3 0 1
29 66.5 74.5 1 0 0
30 84 73.5 0 1 1
31 71 75.5 0 0 1
